@Height M@Weight kg@%Fat
64@1.53@52.96@36.3
38@1.45@34.81@20.4
52@1.58@83.91@46.0
30@1.46@38.1@17.7
7@1.5@45.59@25.3
54@1.64@77.34@42.2
75@1.5@46.95@30.2
15@1.52@62.37@37.9
26@1.5@37.31@18.1
23@1.56@44.68@24.6
81@1.46@36.74@19.3
1@1.65@62.6@28.8
89@1.42@38.1@30.3
12@1.52@65.88@33.5
5@1.61@52.62@22.1
65@1.59@61.23@33.0
28@1.44@39.01@26.2
36@1.42@30.05@17.1
85@1.59@44.45@23.9
77@1.42@35.83@19.4
2@1.65@75.75@32.4
63@1.65@81.99@35.9
32@1.56@37.19@17.5
9@1.48@44.45@26.4
16@1.46@45.81@31.3
46@1.47@54.54@38.4
79@1.52@38.56@17.3
62@1.49@50.46@37.6
